id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
91000003111		1	31000003106	31000003106	en	900000000000013009	Test subontology module	900000000000448009
101000003112		1	31000003106	31000003106	en	900000000000003001	Test subontology module (core metadata concept)	900000000000448009
139017	20170731	1	900000000000207008	126851005	en	900000000000013009	Neoplasm of liver	900000000000448009
140015	20170731	1	900000000000207008	126852003	en	900000000000013009	Neoplasm of intrahepatic bile ducts	900000000000448009
613019	20170731	1	900000000000207008	127325009	en	900000000000013009	Procedure related finding	900000000000448009
777016	20170731	1	900000000000012004	127489000	en	900000000000013009	Has active ingredient	900000000000448009
1166010	20170731	1	900000000000207008	127879008	en	900000000000013009	Hepatic parenchyma	900000000000448009
1239018	20170731	1	900000000000207008	127952008	en	900000000000013009	Peritoneal fold	900000000000448009
1241017	20170731	1	900000000000207008	127954009	en	900000000000013009	Skeletal muscle	900000000000448009
1408018	20170731	1	900000000000207008	192008	en	900000000000013009	Congenital syphilitic hepatomegaly	900000000000448009
1473014	20020131	1	900000000000207008	227002	en	900000000000013009	Canal of Hering	900000000000017005
1619012	20170731	1	900000000000207008	318001	en	900000000000013009	Cardiac impression of liver	900000000000448009
1767014	20170731	1	900000000000207008	407000	en	900000000000013009	Congenital hepatomegaly	900000000000448009
1966014	20020131	1	900000000000207008	536002	en	900000000000013009	Glissonian cirrhosis	900000000000017005
2057010	20170731	1	900000000000207008	589001	en	900000000000013009	Interventricular septum	900000000000448009
2058017	20020131	0	900000000000207008	589001	en	900000000000013009	Interventricular septum, NOS	900000000000020002
2178011	20170731	1	900000000000207008	667009	en	900000000000013009	Embryonic structure	900000000000448009
2179015	20020131	0	900000000000207008	667009	en	900000000000013009	Embryonic structure, NOS	900000000000020002
2382016	20170731	1	900000000000207008	790007	en	900000000000013009	Visceral aspect of liver	900000000000448009
2383014	20020131	0	900000000000207008	790007	en	900000000000013009	Visceral aspect of liver, NOS	900000000000020002
2866010	20170731	1	900000000000207008	1059007	en	900000000000013009	Opisthorchiasis	900000000000448009
2867018	20170731	1	900000000000207008	1059007	en	900000000000013009	Cat liver fluke infection	900000000000448009
2868011	20170731	1	900000000000207008	1059007	en	900000000000013009	Opisthorchiosis	900000000000448009
2956015	20020131	1	900000000000207008	1116000	en	900000000000013009	Chronic aggressive type B viral hepatitis	900000000000020002
3205012	20170731	1	900000000000207008	1250004	en	900000000000013009	Decreased	900000000000448009
3206013	20170731	1	900000000000207008	1250004	en	900000000000013009	Diminished	900000000000448009
3207016	20170731	1	900000000000207008	1250004	en	900000000000013009	Decreased by	900000000000448009
3389018	20180731	0	900000000000207008	1368003	en	900000000000013009	^131^Iodine	900000000000017005
3676015	20170731	1	900000000000207008	1539003	en	900000000000013009	Acquired trigger finger	900000000000448009
3920013	20170731	1	900000000000207008	1684009	en	900000000000013009	Ligamentum teres of liver	900000000000448009
3921012	20170731	1	900000000000207008	1684009	en	900000000000013009	Round ligament of liver	900000000000448009
4044018	20170731	1	900000000000207008	1761006	en	900000000000013009	Biliary cirrhosis	900000000000448009
4045017	20170731	1	900000000000207008	1761006	en	900000000000013009	Cholangitic cirrhosis	900000000000448009
4046016	20170731	1	900000000000207008	1761006	en	900000000000013009	Cholestatic cirrhosis	900000000000448009
4047013	20170731	1	900000000000207008	1761006	en	900000000000013009	Chronic nonsuppurative destructive cholangitis	900000000000448009
4183019	20020131	1	900000000000207008	1846000	en	900000000000013009	Opisthorchis felineus	900000000000017005
4184013	20170731	1	900000000000207008	1846000	en	900000000000013009	Cat liver fluke	900000000000448009
4185014	20020131	1	900000000000207008	1846000	en	900000000000013009	Opisthorchis tenuicollis	900000000000017005
4277013	20170731	1	900000000000207008	1899006	en	900000000000013009	Autosomal hereditary disorder	900000000000448009
4278015	20020131	0	900000000000207008	1899006	en	900000000000013009	Autosomal hereditary disorder, NOS	900000000000020002
4538011	20170731	1	900000000000207008	2052000	en	900000000000013009	Acute necrosis	900000000000448009
5569018	20170731	1	900000000000207008	2696004	en	900000000000013009	Hepatic venography with hemodynamic evaluation	900000000000448009
5644011	20170731	1	900000000000207008	2748008	en	900000000000013009	Spinal cord	900000000000448009
5645012	20020131	0	900000000000207008	2748008	en	900000000000013009	Spinal cord, NOS	900000000000020002
5926017	20170731	1	900000000000207008	2909002	en	900000000000013009	Posterior portion of diaphragmatic aspect of liver	900000000000448009
6038015	20140131	0	900000000000207008	2969000	en	900000000000013009	Body space	900000000000020002
6039011	20020131	0	900000000000207008	2969000	en	900000000000013009	Body space, NOS	900000000000020002
6178013	20170731	1	900000000000207008	3058005	en	900000000000013009	Peripheral nervous system	900000000000448009
6191014	20170731	1	900000000000207008	126081001	en	900000000000013009	Halibut liver oil	900000000000448009
6558010	20070731	1	900000000000207008	3294004	en	900000000000013009	Schistosoma haematobium	900000000000017005
7166018	20170731	1	900000000000207008	3650004	en	900000000000013009	Congenital absence of liver	900000000000448009
7176015	20170731	1	900000000000207008	3658006	en	900000000000013009	Infancy	900000000000448009
7177012	20020131	0	900000000000207008	3658006	en	900000000000013009	Infancy, NOS	900000000000020002
7178019	20200731	0	900000000000207008	3658006	en	900000000000013009	Infantile state	900000000000448009
7209017	20170731	1	900000000000207008	3679006	en	900000000000013009	Polycystic change	900000000000448009
7210010	20020131	0	900000000000207008	3679006	en	900000000000013009	Polycystic change, NOS	900000000000020002
7252017	20020131	0	900000000000207008	3711007	en	900000000000013009	Great vessels, NOS	900000000000020002
7302012	20170731	1	900000000000207008	3738000	en	900000000000013009	Viral hepatitis	900000000000448009
7303019	20020131	0	900000000000207008	3738000	en	900000000000013009	Viral hepatitis, NOS	900000000000020002
7304013	20020131	0	900000000000207008	3738000	en	900000000000013009	Unspecified viral hepatitis without mention of hepatic coma	900000000000020002
7501018	20170731	1	900000000000207008	3860006	en	900000000000013009	Transplanted liver	900000000000448009
8405011	20170731	1	900000000000207008	4147007	en	900000000000013009	Mass	900000000000448009
